ID,SKU,Nome,Categoria,Serie,Descricao,Imagem_Principal,Imagens,URL_Detalhe
247121,LB652,Banco Multi Posições,Bancos Ajustáveis,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F20-cmd-lb-f-series-1-1.png,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB652-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB652-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-multi-posicoes-lb652/
852,B1039,Banco Multi-Posições,Bancos Ajustáveis,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1039-1-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1039-1-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1039-2-2.webp,https://commanderbrasil.com.br/catalogo/banco-multi-posicoes-b1039/
167,GM33,Banco Multi-Posições,Bancos Ajustáveis,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM33-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM33-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM33-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/banco-multi-posicoes-gm33/
1467,LB650,Banco Multi-Posições,Bancos Ajustáveis,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB650-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB650-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB650-3-2.webp,https://commanderbrasil.com.br/catalogo/banco-multi-posicoes-lb650/
1470,LB653,Banco Multi-Posições,Bancos Ajustáveis,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB653-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB653-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB653-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/banco-multi-posicoes-lb653/
1280,SH46,Banco Multifuncional,Outras Anilhadas,Equipamentos - Série SH,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH46-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH46-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH46-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/banco-multifuncional-sh46/
1590,CBP026,Banco Olímpico De Ombros,Outros Bancos,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP026-bgbranco-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP026-bgbranco-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP026-ambientadas-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-de-ombros-cbp026/
1589,CBP025,Banco Olímpico De Ombros Super,Outros Bancos,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP025-bgbranco-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP025-bgbranco-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP025-ambientadas-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-de-ombros-super-cbp025/
857,B1046,Banco Olímpico Desenvolvimento de Ombros,Bancos Olímpicos,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1046-1-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1046-1-2.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-desenvolvimento-ombros-b1046/
1587,CBP023,Banco Olímpico Inclinado,Outros Bancos,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP023-bgbranco-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP023-bgbranco-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP023-ambientadas-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-inclinado-cbp023/
