SKU,Nome,slug_nome,Categoria,slug_categoria,Serie,slug_serie,Descricao,Imagem
CBP093,Máquina Tríceps Alternado,maquina-triceps-alternado,Tríceps,triceps,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP093-bgbranco-2.webp
CBP123,Máquina Viking para Ombros e Panturrilha Elevação,maquina-viking-para-ombros-e-panturrilha-elevacao,Máquinas de Panturrilha,maquinas-de-panturrilha,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP123-bgbranco-2.webp
QHSJ223,Marreta,marreta,-,,Acessórios - QHSJ Treino,acessorios-qhsj-treino,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ223-bgbranco.webp
E022,Martelo 6kg,martelo-6kg,Acessórios de Treino,acessorios-de-treino,Acessórios - Série E,acessorios-serie-e,Martelo 6kg - Código: E-022,https://commanderbrasil.com.br/wp-content/uploads/2025/12/E022-e-1.jpeg
C063,Massageador Beast Ball,massageador-beast-ball,Acessórios de Treino,acessorios-de-treino,Acessórios - Série C,acessorios-serie-c,Massageador Beast Ball - Código: C-063,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-063-c-2.jpeg
QHSJ185,Medicine Ball / Bola de Palma,medicine-ball-bola-de-palma,Medicine Balls,medicine-balls,Acessórios - QHSJ Treino,acessorios-qhsj-treino,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ185-bgbranco.webp
D001,Medicine Ball 1kg,medicine-ball-1kg,Medicine Balls,medicine-balls,Acessórios - Série D,acessorios-serie-d,Medicine Ball 1kg - Código: D-001,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D001-d-2.jpeg
D002,Medicine Ball com Alças 3kg,medicine-ball-com-alcas-3kg,Medicine Balls,medicine-balls,Acessórios - Série D,acessorios-serie-d,Medicine Ball com Alças 3kg - Código: D-002,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D002-d-2.jpeg
QHSJ186,Medicine Ball com Alças Duplas,medicine-ball-com-alcas-duplas,Medicine Balls,medicine-balls,Acessórios - QHSJ Treino,acessorios-qhsj-treino,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ186-bgbranco.webp
QHSJ169,Meia Bola com Pontas,meia-bola-com-pontas,Medicine Balls,medicine-balls,Acessórios - QHSJ Yoga,acessorios-qhsj-yoga,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ169-bgbranco.webp
C029,Meio Espuma Rolo 45cm,meio-espuma-rolo-45cm,Rolos de Espuma,rolos-de-espuma,Acessórios - Série C,acessorios-serie-c,Meio Foam Roller 45cm - Código: C-029,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-029-c-2.jpeg
C028,Meio Espuma Rolo 60cm,meio-espuma-rolo-60cm,Rolos de Espuma,rolos-de-espuma,Acessórios - Série C,acessorios-serie-c,Meio Foam Roller 60cm - Código: C-028,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-028-c-2.jpeg
C027,Meio Espuma Rolo 90cm,meio-espuma-rolo-90cm,Rolos de Espuma,rolos-de-espuma,Acessórios - Série C,acessorios-serie-c,Meio Foam Roller 90cm - Código: C-027,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-027-c-2.jpeg
CBP002,Meio Suporte Completo,meio-suporte-completo,Outros Racks,outros-racks,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP002-bgbranco-2.webp
CBS063,Mergulho Supino Duplo Sistema,mergulho-supino-duplo-sistema,Supino,supino,Equipamentos - Série CBS,equipamentos-serie-cbs,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBS063-bgbranco-2.webp
QHSJ184,Mesa de Massagem,mesa-de-massagem,-,,Acessórios - QHSJ Yoga,acessorios-qhsj-yoga,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ184-bgbranco.webp
C076,Mesa de Massagem Alumínio,mesa-de-massagem-aluminio,Acessórios de Treino,acessorios-de-treino,Acessórios - Série C,acessorios-serie-c,Massage Table de Alumínio - Código: C-076,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-076-c-2.jpeg
C074,Mesa de Massagem Básica,mesa-de-massagem-basica,Acessórios de Treino,acessorios-de-treino,Acessórios - Série C,acessorios-serie-c,Basic Massage Table - Código: C-074,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-074-c-2.jpeg
C075,Mesa de Massagem Premium,mesa-de-massagem-premium,Acessórios de Treino,acessorios-de-treino,Acessórios - Série C,acessorios-serie-c,Massage Table Premium - Código: C-075,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-075-c-2.jpeg
LB608,Mesa Extensora de Pernas,mesa-extensora-de-pernas,Extensora de Pernas,extensora-de-pernas,Equipamentos - Série LB,equipamentos-serie-lb,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB608-bgbranco-2.webp
VS25,Mesa Flexora,mesa-flexora,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série VS,equipamentos-serie-vs,,
B1001,Mesa Flexora,mesa-flexora,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/b1001-1-1.webp
PM11,Mesa Flexora,mesa-flexora,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série PM,equipamentos-serie-pm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM11-bgbranco.webp
